ID,ScaleX,ScaleY,ScaleZ,RotX,RotY,Rotz,PosX,PosY,PosZ
Stage2,1,1,1,0,0,0,0,0,0
Enemy1,1,1,1,0,0,0,-11,1.5,-4.5
Enemy2,1,1,1,0,0,0,-5.5,1.5,3
Enemy1,1,1,1,0,0,0,-0.5,1.5,-3
Enemy2,1,1,1,0,0,0,1.5,1.5,9
Enemy1,1,1,1,0,0,0,11,1.5,5
Goal,5.5,1,8,0,0,0,-7,0,11
SoundBlock,1,1,1,0,0,0,0,1.5,2
Floor,20,1,8,0,0,0,5.5,0.5,11.5
SoundBlock,1,1,1,0,0,0,-7,1.5,-2.5
Wall,19,2,7,0,0,0,-5,2,-11
Start,5,2,7,0,XM_PI,0,7,2,-11
SoundBlock,1,1,1,0,0,0,7,1.5,7.5
Wall,5,2,14,0,0,0,12,2,-7.5
Floor,31,1,23,0,0,0,0,0.5,-4
Wall,30,2,1,0,0,0,0.5,2,-15
Wall,30,2,1,0,XM_PIDIV2,0,-15,2,-0.5
Wall,30,2,1,0,0,0,-0.5,2,15
Wall,30,2,1,0,XM_PIDIV2,0,15,2,0.5
Wall,5,2,7,0,0,0,-12,2,11
CheckPoint,1,1,1,0,0,0,7,0,0
CheckPoint,1,1,1,0,0,0,-7,0,0
Player,1,1,1,0,0,0,7,1.5,-5.5
