ID,ScaleX,ScaleY,ScaleZ,RotX,RotY,Rotz,PosX,PosY,PosZ
Wall,5,2,7,0,0,0,12,2,11
Start,5,2,7,0,0,0,7,2,11
Wall,30,2,1,0,XM_PIDIV2,0,-15,2,0.5
Wall,30,2,1,0,0,0,-0.5,2,-15
Wall,30,2,1,0,XM_PIDIV2,0,15,2,-0.5
Wall,30,2,1,0,0,0,0.5,2,15
Floor,31,1,17,0,0,0,0,0.5,7
SoundBlock,1,1,1,0,0,0,-2.5,1.5,8.5
Floor,5,1,7,0,0,0,7,0.5,-12
Floor,6,1,14,0,0,0,12.5,0.5,-8.5
Floor,20,1,14,0,0,0,-5.5,0.5,-8.5
Goal,5,1,7,0,0,0,7,0.5,-5
Wall,20,2,1,0,0,0,4.5,2,-1
Enemy2,1,1,1,0,0,0,-2.5,1.5,-7.5
Enemy1,1,1,1,0,0,0,-9.5,1.5,-10
Enemy1,1,1,1,0,0,0,-12,1.5,1.5
Enemy2,1,1,1,0,0,0,-8.5,1.5,5.5
Enemy2,1,1,1,0,0,0,-5,1.5,11.5
Enemy1,1,1,1,0,0,0,0,1.5,4.5
SoundBlock,1,1,1,0,0,0,-11,1.5,-5
SoundBlock,1,1,1,0,0,0,-11,1.5,8
SoundBlock,1,1,1,0,0,0,-2.5,1.5,-5
CheckPoint,1,1,1,0,0,0,-8.5,0,5.5
CheckPoint,1,1,1,0,0,0,-7,0,-8
